stop_name,stop_id,stop_lat,stop_lon
Bad Friedrichshall Hbf,2173,49.231625,9.199674
Bad Friedrichshall Hbf,3571,49.231667,9.199701
Bad Friedrichshall Hbf,7207,49.231377,9.199332
Bad Friedrichshall Hbf,9382,49.231743,9.199818
Bad Friedrichshall-Kochendorf,7485,49.21775,9.211621
Bad Gandersheim,3055,51.8675,10.020463
Bad Gandersheim,982,51.867397,10.020347
Bad Griesbach(Schwarzwald),4623,48.44862,8.230569
Bad Grönenbach,12689,47.88247,10.253715
Bad Grönenbach,2432,47.88247,10.253715
Bad Harzburg,11205,51.88837,10.554219
Bad Harzburg,1265,51.88837,10.554219
Bad Harzburg,1714,51.88837,10.554219
Bad Harzburg,6215,51.88837,10.554219
Bad Herrenalb,5887,48.80243,8.438957
Bad Hersfeld,13313,50.869633,9.716182
Bad Hersfeld,1835,50.869633,9.716182
